transaction_id,customer_id,product_id,transaction_date,quantity,unit_price,total_amount,discount_applied,status,payment_method,shipping_cost,year,month,day,day_of_week,hour,net_amount
T077767,C08119,P0932,2023-01-01 00:23:39,1,23.87,23.87,0,refunded,paypal,8.15,2023,1,1,Sunday,0,15.72
T021376,C08883,P0889,2023-01-01 00:26:51,1,31.53,31.53,50,refunded,credit_card,6.13,2023,1,1,Sunday,0,25.400000000000002
T117783,C05855,P0065,2023-01-01 00:45:53,1,67.75,67.75,0,completed,apple_pay,0.0,2023,1,1,Sunday,0,67.75
T035185,C09437,P0200,2023-01-01 01:04:28,1,151.06,151.06,5,cancelled,apple_pay,0.0,2023,1,1,Sunday,1,151.06
S011849,C03752,P0683,2023-01-01 01:17:34,1,67.14,67.14,0,completed,debit_card,0.0,2023,1,1,Sunday,1,67.14
S069739,C08040,P0592,2023-01-01 01:18:59,1,129.37,129.37,0,refunded,credit_card,0.0,2023,1,1,Sunday,1,129.37
S000533,C04682,P0522,2023-01-01 02:56:47,1,26.49,26.49,0,pending,credit_card,5.82,2023,1,1,Sunday,2,20.669999999999998
S047110,C07443,P0793,2023-01-01 04:20:30,1,28.89,28.89,5,cancelled,debit_card,6.97,2023,1,1,Sunday,4,21.92
S075469,C07806,P0189,2023-01-01 05:53:29,1,16.26,16.26,10,refunded,apple_pay,4.87,2023,1,1,Sunday,5,11.39
S079609,C04076,P0108,2023-01-01 05:56:05,1,6.97,6.97,0,cancelled,google_pay,9.07,2023,1,1,Sunday,5,-2.1000000000000005
S016838,C01064,P0146,2023-01-01 06:47:46,1,20.43,20.43,0,completed,paypal,4.06,2023,1,1,Sunday,6,16.37
S021348,C03113,P0172,2023-01-01 07:04:02,2,68.73,137.46,0,refunded,credit_card,0.0,2023,1,1,Sunday,7,137.46
S028556,C08272,P0437,2023-01-01 09:45:11,1,5.61,5.61,0,completed,credit_card,9.65,2023,1,1,Sunday,9,-4.04
S004278,C00673,P0756,2023-01-01 09:45:20,1,55.83,55.83,0,pending,credit_card,0.0,2023,1,1,Sunday,9,55.83
S038850,C04694,P0127,2023-01-01 11:32:50,1,7.7,7.7,10,completed,credit_card,5.33,2023,1,1,Sunday,11,2.37
S015439,C00526,P0402,2023-01-01 11:36:11,1,10.23,10.23,5,completed,apple_pay,6.72,2023,1,1,Sunday,11,3.5100000000000007
S056527,C06974,P0384,2023-01-01 13:12:47,1,16.5,16.5,0,pending,credit_card,4.54,2023,1,1,Sunday,13,11.96
S049566,C01542,P0593,2023-01-01 13:24:34,1,29.36,29.36,0,completed,debit_card,4.43,2023,1,1,Sunday,13,24.93
S009686,C02940,P0265,2023-01-01 13:37:33,1,43.86,43.86,0,completed,credit_card,8.77,2023,1,1,Sunday,13,35.09
S012669,C09267,P0970,2023-01-01 14:23:24,2,48.71,97.42,0,completed,credit_card,0.0,2023,1,1,Sunday,14,97.42
S001725,C06454,P0545,2023-01-01 14:23:47,1,34.81,34.81,20,completed,credit_card,5.46,2023,1,1,Sunday,14,29.35
S046790,C07967,P0283,2023-01-01 15:39:28,1,31.72,31.72,10,refunded,paypal,9.79,2023,1,1,Sunday,15,21.93
S000401,C02266,P0532,2023-01-01 16:32:40,1,86.36,86.36,0,completed,debit_card,0.0,2023,1,1,Sunday,16,86.36
S079161,C02403,P0602,2023-01-01 16:34:35,1,17.39,17.39,0,completed,credit_card,8.08,2023,1,1,Sunday,16,9.31
S071107,C08238,P0155,2023-01-01 18:16:32,1,18.09,18.09,0,completed,apple_pay,8.61,2023,1,1,Sunday,18,9.48
S017404,C08745,P0462,2023-01-01 18:36:35,1,6.31,6.31,0,pending,credit_card,8.06,2023,1,1,Sunday,18,-1.7500000000000009
T023541,C03013,P0875,2023-01-01 20:09:06,1,11.6,11.6,0,refunded,credit_card,9.15,2023,1,1,Sunday,20,2.4499999999999993
S066055,C00178,P0705,2023-01-01 20:23:45,1,38.46,38.46,20,cancelled,credit_card,4.72,2023,1,1,Sunday,20,33.74
S000791,C04041,P0851,2023-01-01 22:31:47,1,25.07,25.07,0,cancelled,paypal,5.62,2023,1,1,Sunday,22,19.45
S056539,C04519,P0945,2023-01-01 23:59:40,1,45.62,45.62,40,completed,credit_card,7.45,2023,1,1,Sunday,23,38.169999999999995
S055585,C08755,P0166,2023-01-02 00:07:59,1,14.44,14.44,0,refunded,paypal,6.15,2023,1,2,Monday,0,8.29
S062014,C07702,P0091,2023-01-02 01:00:06,1,17.21,17.21,20,pending,credit_card,7.67,2023,1,2,Monday,1,9.540000000000001
S028019,C06896,P0522,2023-01-02 01:11:44,2,26.49,52.98,0,cancelled,google_pay,0.0,2023,1,2,Monday,1,52.98
S070074,C06185,P0128,2023-01-02 03:06:42,1,89.44,89.44,0,pending,credit_card,0.0,2023,1,2,Monday,3,89.44
S001229,C01446,P0609,2023-01-02 03:07:15,1,27.37,27.37,0,cancelled,credit_card,4.4,2023,1,2,Monday,3,22.97
S015304,C07098,P0539,2023-01-02 03:17:25,1,64.98,64.98,0,pending,apple_pay,0.0,2023,1,2,Monday,3,64.98
S071717,C01573,P0718,2023-01-02 04:57:03,1,36.95,36.95,0,refunded,credit_card,7.69,2023,1,2,Monday,4,29.26
S020050,C08571,P0215,2023-01-02 05:28:10,1,91.39,91.39,0,completed,credit_card,0.0,2023,1,2,Monday,5,91.39
S013209,C07497,P0892,2023-01-02 06:59:54,1,3.71,3.71,0,cancelled,debit_card,9.41,2023,1,2,Monday,6,-5.7
T110309,C02835,P0544,2023-01-02 09:06:15,1,40.89,40.89,0,completed,debit_card,7.64,2023,1,2,Monday,9,33.25
S076817,C07336,P0358,2023-01-02 09:38:59,1,14.96,14.96,0,completed,apple_pay,4.76,2023,1,2,Monday,9,10.200000000000001
S000488,C06566,P0841,2023-01-02 12:40:51,1,17.95,17.95,0,pending,apple_pay,9.48,2023,1,2,Monday,12,8.469999999999999
S042497,C08995,P0762,2023-01-02 15:21:58,1,19.29,19.29,0,completed,google_pay,9.47,2023,1,2,Monday,15,9.819999999999999
S009537,C00018,P0237,2023-01-02 15:31:05,1,54.38,54.38,0,cancelled,debit_card,0.0,2023,1,2,Monday,15,54.38
S030974,C03296,P0788,2023-01-02 16:12:20,1,24.12,24.12,0,completed,debit_card,8.31,2023,1,2,Monday,16,15.81
S069947,C08323,P0484,2023-01-02 16:21:28,1,56.36,56.36,0,pending,credit_card,0.0,2023,1,2,Monday,16,56.36
S025138,C04979,P0107,2023-01-02 16:25:22,2,57.5,115.0,0,refunded,paypal,0.0,2023,1,2,Monday,16,115.0
S036818,C00489,P0754,2023-01-02 18:19:15,2,199.82,399.64,0,refunded,google_pay,0.0,2023,1,2,Monday,18,399.64
S047960,C06164,P0985,2023-01-02 18:21:14,1,24.84,24.84,0,completed,apple_pay,4.2,2023,1,2,Monday,18,20.64
S042265,C06629,P0911,2023-01-02 20:23:27,1,38.26,38.26,0,completed,credit_card,4.88,2023,1,2,Monday,20,33.379999999999995
S045849,C06421,P0669,2023-01-02 20:36:09,1,20.59,20.59,0,completed,apple_pay,9.87,2023,1,2,Monday,20,10.72
S057506,C04798,P0215,2023-01-02 20:44:56,1,91.39,91.39,0,cancelled,debit_card,0.0,2023,1,2,Monday,20,91.39
S061293,C06765,P0911,2023-01-02 22:16:38,1,38.26,38.26,0,cancelled,debit_card,8.23,2023,1,2,Monday,22,30.029999999999998
S002504,C01874,P0050,2023-01-02 22:19:01,1,84.53,84.53,0,cancelled,google_pay,0.0,2023,1,2,Monday,22,84.53
S000360,C01484,P0090,2023-01-02 23:38:48,1,5.71,5.71,0,completed,google_pay,4.57,2023,1,2,Monday,23,1.1399999999999997
S016843,C04761,P0174,2023-01-02 23:53:28,1,30.83,30.83,25,pending,credit_card,9.67,2023,1,2,Monday,23,21.159999999999997
S013621,C08743,P0403,2023-01-03 01:53:23,2,37.76,75.52,0,completed,credit_card,0.0,2023,1,3,Tuesday,1,75.52
S057864,C08179,P0776,2023-01-03 02:08:20,2,29.44,58.88,0,cancelled,debit_card,0.0,2023,1,3,Tuesday,2,58.88
S032544,C00925,P0873,2023-01-03 03:00:45,1,32.59,32.59,0,completed,credit_card,8.14,2023,1,3,Tuesday,3,24.450000000000003
S031410,C08046,P0257,2023-01-03 03:06:03,1,53.97,53.97,0,completed,debit_card,0.0,2023,1,3,Tuesday,3,53.97
S015085,C04240,P0214,2023-01-03 04:34:11,1,32.94,32.94,0,completed,apple_pay,5.86,2023,1,3,Tuesday,4,27.08
S035381,C00009,P0090,2023-01-03 06:32:41,2,5.71,11.42,0,completed,debit_card,6.01,2023,1,3,Tuesday,6,5.41
S058119,C09962,P0799,2023-01-03 06:33:28,1,146.47,146.47,0,pending,paypal,0.0,2023,1,3,Tuesday,6,146.47
S068490,C06884,P0123,2023-01-03 07:39:47,1,58.96,58.96,10,refunded,credit_card,0.0,2023,1,3,Tuesday,7,58.96
S009575,C03806,P0167,2023-01-03 07:46:12,1,18.52,18.52,5,completed,paypal,6.63,2023,1,3,Tuesday,7,11.89
S005196,C08537,P0063,2023-01-03 09:09:12,1,22.74,22.74,0,completed,credit_card,6.52,2023,1,3,Tuesday,9,16.22
S053724,C01233,P0341,2023-01-03 10:11:24,1,21.48,21.48,0,cancelled,paypal,5.43,2023,1,3,Tuesday,10,16.05
S040006,C07606,P0689,2023-01-03 10:21:38,1,34.07,34.07,0,pending,paypal,8.92,2023,1,3,Tuesday,10,25.15
S022031,C01849,P0046,2023-01-03 11:11:49,1,142.47,142.47,10,completed,credit_card,0.0,2023,1,3,Tuesday,11,142.47
S044359,C06314,P0465,2023-01-03 11:14:49,1,359.8,359.8,0,completed,apple_pay,0.0,2023,1,3,Tuesday,11,359.8
S040349,C04776,P0832,2023-01-03 13:11:53,1,39.46,39.46,0,completed,debit_card,6.02,2023,1,3,Tuesday,13,33.44
S020611,C02498,P0539,2023-01-03 13:13:07,1,64.98,64.98,0,completed,paypal,0.0,2023,1,3,Tuesday,13,64.98
S042263,C08123,P0501,2023-01-03 13:39:36,1,5.7,5.7,15,pending,credit_card,9.19,2023,1,3,Tuesday,13,-3.4899999999999993
S059425,C03153,P0046,2023-01-03 14:37:04,1,142.47,142.47,10,completed,apple_pay,0.0,2023,1,3,Tuesday,14,142.47
S037364,C03604,P0490,2023-01-03 14:52:44,1,125.15,125.15,0,completed,paypal,0.0,2023,1,3,Tuesday,14,125.15
S077708,C03596,P0606,2023-01-03 16:01:52,2,95.64,191.29,50,pending,debit_card,0.0,2023,1,3,Tuesday,16,191.29
S048314,C02622,P0477,2023-01-03 16:02:43,1,56.84,56.84,25,refunded,paypal,0.0,2023,1,3,Tuesday,16,56.84
S012263,C00698,P0419,2023-01-03 18:40:00,1,12.56,12.56,5,pending,credit_card,6.45,2023,1,3,Tuesday,18,6.11
S000610,C00946,P0139,2023-01-03 20:06:33,1,27.83,27.83,0,completed,credit_card,6.4,2023,1,3,Tuesday,20,21.43
S072533,C09504,P0363,2023-01-03 20:18:50,1,43.06,43.06,0,pending,apple_pay,5.76,2023,1,3,Tuesday,20,37.300000000000004
S012760,C06289,P0071,2023-01-03 20:24:43,1,17.05,17.05,30,cancelled,google_pay,7.63,2023,1,3,Tuesday,20,9.420000000000002
S050740,C05557,P0139,2023-01-03 23:38:22,1,27.83,27.83,0,completed,google_pay,6.58,2023,1,3,Tuesday,23,21.25
S022200,C01136,P0562,2023-01-03 23:42:34,1,98.63,98.63,0,completed,google_pay,0.0,2023,1,3,Tuesday,23,98.63
S010707,C01933,P0196,2023-01-04 01:27:40,1,41.38,41.38,0,cancelled,debit_card,4.14,2023,1,4,Wednesday,1,37.24
S017113,C00947,P0146,2023-01-04 01:33:34,1,20.43,20.43,0,completed,credit_card,5.93,2023,1,4,Wednesday,1,14.5
S066494,C08580,P0855,2023-01-04 02:41:31,1,12.33,12.33,0,cancelled,credit_card,8.91,2023,1,4,Wednesday,2,3.42
T066599,C07479,P0314,2023-01-04 02:42:59,2,27.22,54.45,10,cancelled,credit_card,0.0,2023,1,4,Wednesday,2,54.45
S067506,C02329,P0259,2023-01-04 02:53:06,1,88.17,88.17,0,completed,google_pay,0.0,2023,1,4,Wednesday,2,88.17
S058572,C08592,P0528,2023-01-04 04:01:15,1,18.87,18.87,0,completed,google_pay,4.56,2023,1,4,Wednesday,4,14.310000000000002
T111715,C02551,P0110,2023-01-04 05:38:17,1,17.85,17.85,0,cancelled,paypal,6.26,2023,1,4,Wednesday,5,11.590000000000002
S013426,C02911,P0008,2023-01-04 05:45:48,1,11.01,11.01,40,completed,debit_card,5.28,2023,1,4,Wednesday,5,5.7299999999999995
S020900,C02157,P0212,2023-01-04 06:48:29,1,172.16,172.16,5,completed,debit_card,0.0,2023,1,4,Wednesday,6,172.16
S012778,C07648,P0267,2023-01-04 06:51:22,1,117.13,117.13,0,pending,google_pay,0.0,2023,1,4,Wednesday,6,117.13
S030956,C03221,P0191,2023-01-04 08:43:36,2,4.6,9.2,50,pending,credit_card,9.16,2023,1,4,Wednesday,8,0.03999999999999915
S059446,C07924,P0718,2023-01-04 08:47:38,1,36.95,36.95,0,completed,paypal,5.11,2023,1,4,Wednesday,8,31.840000000000003
S055061,C05272,P0726,2023-01-04 08:51:33,1,168.0,168.0,0,refunded,debit_card,0.0,2023,1,4,Wednesday,8,168.0
S079490,C03955,P0300,2023-01-04 11:11:30,1,8.25,8.25,50,completed,credit_card,8.21,2023,1,4,Wednesday,11,0.03999999999999915
S077355,C02150,P0751,2023-01-04 11:25:41,2,31.32,62.64,0,completed,apple_pay,0.0,2023,1,4,Wednesday,11,62.64
S012649,C09802,P0675,2023-01-04 12:51:52,1,15.5,15.5,0,completed,paypal,9.75,2023,1,4,Wednesday,12,5.75
S043328,C05721,P0204,2023-01-04 12:55:47,1,22.48,22.48,0,completed,debit_card,8.94,2023,1,4,Wednesday,12,13.540000000000001
S056718,C08051,P0013,2023-01-04 14:25:52,1,10.75,10.75,0,completed,credit_card,5.93,2023,1,4,Wednesday,14,4.82
S025563,C04442,P0843,2023-01-04 14:33:18,1,29.54,29.54,0,cancelled,debit_card,5.9,2023,1,4,Wednesday,14,23.64
S019183,C08867,P0385,2023-01-04 15:07:05,1,24.62,24.62,50,completed,debit_card,6.15,2023,1,4,Wednesday,15,18.47
S029783,C03645,P0472,2023-01-04 15:08:04,1,19.03,19.03,0,cancelled,credit_card,9.5,2023,1,4,Wednesday,15,9.530000000000001
S033661,C09956,P0490,2023-01-04 17:20:24,1,125.15,125.15,0,completed,apple_pay,0.0,2023,1,4,Wednesday,17,125.15
S032839,C00571,P0201,2023-01-04 17:31:04,1,37.39,37.39,0,cancelled,credit_card,5.93,2023,1,4,Wednesday,17,31.46
T035907,C06178,P0348,2023-01-04 19:14:40,1,144.85,144.85,0,completed,credit_card,0.0,2023,1,4,Wednesday,19,144.85
S012255,C04205,P0293,2023-01-04 19:51:43,1,14.24,14.24,0,cancelled,apple_pay,8.07,2023,1,4,Wednesday,19,6.17
S016518,C03258,P0942,2023-01-04 19:51:55,1,55.09,55.09,0,completed,credit_card,0.0,2023,1,4,Wednesday,19,55.09
S070547,C01622,P0376,2023-01-04 21:33:51,1,66.42,66.42,5,completed,paypal,0.0,2023,1,4,Wednesday,21,66.42
S011130,C01315,P0131,2023-01-04 23:13:31,1,4.73,4.73,30,completed,credit_card,4.82,2023,1,4,Wednesday,23,-0.08999999999999986
S064364,C04235,P0571,2023-01-04 23:14:22,1,15.11,15.11,0,cancelled,credit_card,5.72,2023,1,4,Wednesday,23,9.39
S041313,C05774,P0413,2023-01-04 23:25:33,5,27.69,138.45,0,completed,debit_card,0.0,2023,1,4,Wednesday,23,138.45
S073459,C05739,P0808,2023-01-04 23:49:05,1,133.37,133.37,0,pending,credit_card,0.0,2023,1,4,Wednesday,23,133.37
S076707,C04174,P0344,2023-01-05 00:52:48,1,59.45,59.45,25,completed,google_pay,0.0,2023,1,5,Thursday,0,59.45
S050195,C09072,P0267,2023-01-05 02:23:16,1,117.13,117.13,0,completed,google_pay,0.0,2023,1,5,Thursday,2,117.13
S027525,C05493,P0940,2023-01-05 02:40:46,1,70.61,70.61,15,completed,debit_card,0.0,2023,1,5,Thursday,2,70.61
S067191,C09830,P0860,2023-01-05 02:51:15,1,3.53,3.53,50,cancelled,credit_card,8.48,2023,1,5,Thursday,2,-4.950000000000001
S041727,C06206,P0651,2023-01-05 05:29:31,1,11.37,11.37,0,pending,debit_card,8.42,2023,1,5,Thursday,5,2.9499999999999993
S051636,C05120,P0481,2023-01-05 05:33:25,1,18.91,18.91,0,refunded,credit_card,8.31,2023,1,5,Thursday,5,10.6
T013689,C00435,P0044,2023-01-05 05:41:49,1,24.5,24.5,20,completed,credit_card,6.29,2023,1,5,Thursday,5,18.21
S032418,C09784,P0146,2023-01-05 05:43:03,1,20.43,20.43,0,refunded,paypal,5.54,2023,1,5,Thursday,5,14.89
S033309,C02729,P0212,2023-01-05 07:11:53,1,172.16,172.16,5,cancelled,apple_pay,0.0,2023,1,5,Thursday,7,172.16
S019004,C08592,P0623,2023-01-05 07:58:18,1,29.59,29.59,0,completed,credit_card,9.48,2023,1,5,Thursday,7,20.11
S037736,C04973,P0131,2023-01-05 09:14:24,3,4.73,14.2,30,completed,credit_card,6.71,2023,1,5,Thursday,9,7.489999999999999
S027318,C08595,P0084,2023-01-05 09:20:02,1,10.27,10.27,20,completed,paypal,6.55,2023,1,5,Thursday,9,3.7199999999999998
S047082,C06898,P0447,2023-01-05 09:20:57,2,71.92,143.85,50,completed,paypal,0.0,2023,1,5,Thursday,9,143.85
S022275,C00264,P0536,2023-01-05 10:31:12,3,140.9,422.71,10,pending,credit_card,0.0,2023,1,5,Thursday,10,422.71
S017817,C02995,P0301,2023-01-05 12:15:25,1,34.47,34.47,0,completed,paypal,9.01,2023,1,5,Thursday,12,25.46
S071719,C03580,P0161,2023-01-05 12:19:54,1,31.46,31.46,20,refunded,paypal,9.5,2023,1,5,Thursday,12,21.96
S058670,C06277,P0163,2023-01-05 13:17:45,1,40.44,40.44,0,refunded,debit_card,4.66,2023,1,5,Thursday,13,35.78
S041374,C06151,P0133,2023-01-05 13:33:59,2,56.81,113.62,0,refunded,credit_card,0.0,2023,1,5,Thursday,13,113.62
S034480,C05171,P0551,2023-01-05 14:45:56,1,30.22,30.22,0,completed,apple_pay,8.76,2023,1,5,Thursday,14,21.46
S048408,C08704,P0713,2023-01-05 14:53:43,1,33.26,33.26,0,completed,paypal,6.4,2023,1,5,Thursday,14,26.86
S047744,C05791,P0734,2023-01-05 14:54:25,1,312.37,312.37,0,completed,debit_card,0.0,2023,1,5,Thursday,14,312.37
S069519,C00638,P0264,2023-01-05 15:48:01,2,16.47,32.94,0,completed,credit_card,5.94,2023,1,5,Thursday,15,26.999999999999996
S007830,C00417,P0592,2023-01-05 16:11:00,1,129.37,129.37,0,completed,debit_card,0.0,2023,1,5,Thursday,16,129.37
S019327,C07568,P0326,2023-01-05 16:18:00,1,81.4,81.4,0,completed,credit_card,0.0,2023,1,5,Thursday,16,81.4
S009462,C09135,P0540,2023-01-05 17:25:16,1,10.24,10.24,25,pending,debit_card,5.23,2023,1,5,Thursday,17,5.01
S038033,C02222,P0994,2023-01-05 17:36:17,6,20.61,123.66,25,completed,google_pay,0.0,2023,1,5,Thursday,17,123.66
S007740,C09870,P0117,2023-01-05 18:52:55,1,59.46,59.46,0,completed,paypal,0.0,2023,1,5,Thursday,18,59.46
S067000,C05879,P0340,2023-01-05 19:05:33,1,23.88,23.88,20,completed,credit_card,8.98,2023,1,5,Thursday,19,14.899999999999999
S032129,C01916,P0294,2023-01-05 21:11:04,1,29.24,29.24,0,refunded,paypal,9.99,2023,1,5,Thursday,21,19.25
S056489,C04988,P0765,2023-01-05 21:22:12,1,132.15,132.15,0,completed,debit_card,0.0,2023,1,5,Thursday,21,132.15
S062436,C09161,P0045,2023-01-05 22:34:49,1,116.05,116.05,0,cancelled,credit_card,0.0,2023,1,5,Thursday,22,116.05
S024934,C06793,P0458,2023-01-06 00:03:02,1,12.92,12.92,0,completed,credit_card,7.65,2023,1,6,Friday,0,5.27
S011029,C06436,P0459,2023-01-06 00:04:16,1,84.88,84.88,5,cancelled,google_pay,0.0,2023,1,6,Friday,0,84.88
S038024,C02154,P0879,2023-01-06 01:34:35,1,21.68,21.68,0,completed,credit_card,5.09,2023,1,6,Friday,1,16.59
S019272,C08380,P0479,2023-01-06 01:51:55,1,23.73,23.73,0,completed,google_pay,5.2,2023,1,6,Friday,1,18.53
S076886,C07654,P0901,2023-01-06 02:56:07,1,36.48,36.48,40,completed,credit_card,9.5,2023,1,6,Friday,2,26.979999999999997
S075624,C00055,P0708,2023-01-06 02:56:30,1,29.54,29.54,0,completed,paypal,8.05,2023,1,6,Friday,2,21.49
S021314,C06292,P0614,2023-01-06 03:47:01,1,59.82,59.82,5,completed,credit_card,0.0,2023,1,6,Friday,3,59.82
S033719,C07557,P0560,2023-01-06 05:53:51,1,47.0,47.0,15,completed,paypal,9.32,2023,1,6,Friday,5,37.68
S037388,C06234,P0003,2023-01-06 06:19:25,1,179.9,179.9,0,completed,paypal,0.0,2023,1,6,Friday,6,179.9
S071231,C07490,P0579,2023-01-06 08:08:39,1,32.1,32.1,20,completed,credit_card,7.52,2023,1,6,Friday,8,24.580000000000002
S024398,C00493,P0826,2023-01-06 08:24:12,1,8.93,8.93,25,completed,credit_card,4.28,2023,1,6,Friday,8,4.6499999999999995
S062003,C00895,P0230,2023-01-06 09:11:52,1,38.73,38.73,0,completed,credit_card,4.54,2023,1,6,Friday,9,34.19
S017490,C00497,P0319,2023-01-06 09:16:45,1,230.34,230.34,0,completed,credit_card,0.0,2023,1,6,Friday,9,230.34
S018008,C01040,P0636,2023-01-06 11:12:08,1,12.23,12.23,10,pending,debit_card,7.95,2023,1,6,Friday,11,4.28
S072466,C06246,P0036,2023-01-06 12:56:30,1,46.35,46.35,0,completed,debit_card,9.65,2023,1,6,Friday,12,36.7
S023075,C08683,P0435,2023-01-06 14:07:40,3,71.68,215.04,0,pending,credit_card,0.0,2023,1,6,Friday,14,215.04
S010118,C07294,P0508,2023-01-06 14:27:12,1,62.24,62.24,0,completed,debit_card,0.0,2023,1,6,Friday,14,62.24
S067024,C06461,P0221,2023-01-06 16:15:48,1,73.06,73.06,0,refunded,paypal,0.0,2023,1,6,Friday,16,73.06
S034865,C05820,P0019,2023-01-06 16:26:22,1,126.94,126.94,30,completed,paypal,0.0,2023,1,6,Friday,16,126.94
S028128,C05805,P0109,2023-01-06 16:27:48,1,38.95,38.95,10,completed,credit_card,8.28,2023,1,6,Friday,16,30.67
S012313,C05656,P0861,2023-01-06 19:11:59,1,62.41,62.41,10,completed,credit_card,0.0,2023,1,6,Friday,19,62.41
S046480,C08091,P0837,2023-01-06 20:48:43,1,7.34,7.34,0,completed,credit_card,8.5,2023,1,6,Friday,20,-1.1600000000000001
S016886,C05034,P0764,2023-01-06 20:55:07,1,12.94,12.94,0,completed,paypal,7.69,2023,1,6,Friday,20,5.249999999999999
S049674,C06888,P0960,2023-01-06 22:00:58,1,288.46,288.46,30,refunded,credit_card,0.0,2023,1,6,Friday,22,288.46
S047108,C09940,P0091,2023-01-06 22:11:41,1,17.21,17.21,20,completed,credit_card,9.79,2023,1,6,Friday,22,7.420000000000002
S006179,C01194,P0757,2023-01-06 23:21:18,1,22.45,22.45,0,completed,paypal,6.95,2023,1,6,Friday,23,15.5
S067259,C00234,P0905,2023-01-06 23:28:06,1,29.91,29.91,0,refunded,credit_card,7.32,2023,1,6,Friday,23,22.59
S027348,C03094,P0766,2023-01-07 00:01:19,1,11.14,11.14,0,completed,credit_card,4.59,2023,1,7,Saturday,0,6.550000000000001
S014027,C01562,P0812,2023-01-07 02:46:22,3,21.18,63.54,0,completed,credit_card,0.0,2023,1,7,Saturday,2,63.54
S026809,C06277,P0565,2023-01-07 03:13:39,1,143.41,143.41,0,completed,credit_card,0.0,2023,1,7,Saturday,3,143.41
S063710,C01803,P0629,2023-01-07 03:15:19,1,16.23,16.23,0,completed,debit_card,5.24,2023,1,7,Saturday,3,10.99
S038613,C09986,P0716,2023-01-07 03:16:04,1,13.49,13.49,0,pending,paypal,8.75,2023,1,7,Saturday,3,4.74
S010008,C09492,P0959,2023-01-07 05:04:06,1,28.66,28.66,15,completed,credit_card,4.11,2023,1,7,Saturday,5,24.55
S035339,C07846,P0745,2023-01-07 08:18:12,1,105.02,105.02,0,refunded,paypal,0.0,2023,1,7,Saturday,8,105.02
S028588,C00630,P0030,2023-01-07 08:21:48,2,73.08,146.16,0,refunded,credit_card,0.0,2023,1,7,Saturday,8,146.16
S043297,C09043,P0838,2023-01-07 09:43:54,1,180.95,180.95,0,completed,debit_card,0.0,2023,1,7,Saturday,9,180.95
S031384,C09032,P0311,2023-01-07 09:47:07,2,74.85,149.7,0,completed,credit_card,0.0,2023,1,7,Saturday,9,149.7
S004259,C07853,P0363,2023-01-07 11:52:40,1,43.06,43.06,0,completed,credit_card,8.89,2023,1,7,Saturday,11,34.17
S021148,C01661,P0764,2023-01-07 12:58:24,1,12.94,12.94,0,completed,apple_pay,7.18,2023,1,7,Saturday,12,5.76
S037930,C07428,P0846,2023-01-07 13:04:15,1,80.52,80.52,15,completed,credit_card,0.0,2023,1,7,Saturday,13,80.52
S023723,C06141,P0409,2023-01-07 13:53:29,1,56.88,56.88,0,completed,debit_card,0.0,2023,1,7,Saturday,13,56.88
T108039,C03536,P0331,2023-01-07 13:58:19,1,16.95,16.95,0,refunded,google_pay,9.72,2023,1,7,Saturday,13,7.229999999999999
S049802,C00294,P0388,2023-01-07 14:24:24,1,34.25,34.25,0,completed,credit_card,5.61,2023,1,7,Saturday,14,28.64
S051257,C08620,P0914,2023-01-07 14:27:15,2,32.04,64.08,0,completed,paypal,0.0,2023,1,7,Saturday,14,64.08
S059162,C03136,P0778,2023-01-07 15:55:27,2,86.19,172.38,0,pending,paypal,0.0,2023,1,7,Saturday,15,172.38
S007050,C05813,P0004,2023-01-07 15:58:58,2,12.54,25.08,0,pending,credit_card,5.06,2023,1,7,Saturday,15,20.02
S023079,C09515,P0386,2023-01-07 17:22:41,1,75.01,75.01,0,pending,apple_pay,0.0,2023,1,7,Saturday,17,75.01
S002680,C08561,P0805,2023-01-07 19:04:32,1,18.25,18.25,0,refunded,credit_card,6.48,2023,1,7,Saturday,19,11.77
S075721,C04026,P0768,2023-01-07 20:12:17,1,29.17,29.17,50,completed,credit_card,9.19,2023,1,7,Saturday,20,19.980000000000004
S078864,C03770,P0387,2023-01-07 20:16:44,1,111.57,111.57,0,completed,debit_card,0.0,2023,1,7,Saturday,20,111.57
S033609,C07612,P0112,2023-01-07 22:42:30,1,302.87,302.87,0,pending,credit_card,0.0,2023,1,7,Saturday,22,302.87
S018014,C03943,P0672,2023-01-07 23:38:20,1,9.26,1.0,30,completed,paypal,7.55,2023,1,7,Saturday,23,-6.55
S043471,C05525,P0655,2023-01-07 23:53:49,1,31.87,31.87,0,completed,debit_card,9.03,2023,1,7,Saturday,23,22.840000000000003
S074256,C09625,P0005,2023-01-08 00:13:06,2,26.06,52.12,0,cancelled,credit_card,0.0,2023,1,8,Sunday,0,52.12
S006735,C00764,P0676,2023-01-08 01:59:21,1,86.48,86.48,5,completed,debit_card,0.0,2023,1,8,Sunday,1,86.48
S008496,C02975,P0758,2023-01-08 02:03:04,1,279.58,279.58,0,pending,paypal,0.0,2023,1,8,Sunday,2,279.58
S055115,C09751,P0463,2023-01-08 02:57:02,1,7.37,7.37,0,completed,debit_card,8.99,2023,1,8,Sunday,2,-1.62
